imdbid,number of locations
140352,116
373926,111
2788710,62
1058017,28
1302006,157
129167,65
1007029,55
116654,41
399201,25
290675,115
119395,130
42609,78
18037,33
79367,89
192175,38
38661,70
87538,55
842926,51
5715874,22
85794,3
1504320,59
431197,82
2179116,53
3722070,34
335245,15
4353250,47
102266,100
272020,42
246748,71
844708,26
364800,81
58700,65
104691,2
67328,52
824758,17
95497,41
386140,83
1490017,60
3741632,25
36104,67
362270,56
289992,95
7984734,19
165854,62
1189340,79
63227,34
110357,31
97757,0
3464902,50
116908,107
1482459,4
167260,44
77869,100
480255,79
93437,142
1212428,104
144286,139
37884,0
119567,56
16039,56
3908142,24
110400,28
33870,44
1638355,57
6225520,37
49470,42
243133,9
368008,96
3659388,45
120746,28
110475,73
1560747,92
234215,62
242653,42
133093,59
1790864,78
472399,109
4501454,63
4779682,75
1234548,73
151137,72
5536736,53
1122770,58
805570,45
56241,11
117057,85
884328,12
265349,110
209163,82
859163,98
120616,63
1204342,74
102510,93
402399,93
1458175,103
3799694,69
48424,42
107688,0
810988,78
5814060,22
120773,69
2837574,74
67525,25
75005,138
460890,69
467200,81
1386588,100
69049,1
230600,1
395699,76
352696,103
71970,80
120783,17
335345,52
2404461,25
187393,104
4364194,0
107798,158
1659337,52
3328956,61
16220,113
293508,113
253474,99
1817273,117
105151,90
86122,71
69113,63
119925,92
6294822,39
105159,131
3829266,112
482571,85
63462,9
107889,99
1041829,47
98141,65
330793,129
2184339,44
454921,119
436697,44
144814,75
976051,67
120004,94
6217608,35
298130,41
66302,99
117500,93
265662,90
1265990,68
265666,64
963794,15
292644,22
1097649,61
55701,83
120053,83
235737,76
1629412,16
775529,79
114345,75
49730,99
2709768,32
359950,89
1866249,39
36341,57
5580390,72
81505,39
120824,60
133952,16
102926,92
4971344,119
167404,51
472181,78
1285016,74
1657517,67
963966,63
59742,3
51003,44
6663582,94
367089,86
86370,93
70735,87
482606,26
38991,1
81568,45
1181917,51
6423362,62
418206,12
889573,64
72251,67
134119,90
817228,67
362227,73
88247,129
72271,6
2980516,76
58648,78
120863,78
108327,46
44121,30
41959,6
139809,36
108333,52
54387,29
452694,103
1243957,68
840361,111
84809,59
92106,33
40897,25
478304,73
120382,91
1325004,53
1259571,47
8404614,88
1142988,49
1139668,8
114814,109
831374,69
84855,62
368447,36
46534,79
80120,1
204626,82
118125,58
8544498,103
1727388,17
372532,59
120888,48
896872,133
3750872,28
65214,58
94332,74
993846,90
780653,67
361127,42
143145,131
1213663,42
1125849,55
7083566,80
120902,80
86617,81
962736,66
2333804,24
103074,69
129387,64
469494,78
283632,38
83190,102
245674,54
146309,101
108330,79
1758830,60
1245492,15
800369,95
5027774,25
73802,112
120188,48
94137,37
32029,2
105585,48
81633,94
300556,42
117918,77
94155,71
1340800,40
120338,98
453556,46
48728,77
56592,70
100791,50
112302,49
1365519,63
120347,127
4048272,45
84805,70
100802,88
6791238,27
471042,54
120363,18
435761,59
114709,56
181865,156
139654,24
3152624,65
2209764,102
418279,113
100814,38
1488606,164
23622,4
332452,90
98524,71
108399,42
3203606,56
3859076,59
5610554,30
86491,103
105665,111
369179,30
417217,86
120399,38
217869,62
1809398,94
86510,94
1275861,57
5691670,75
1441395,50
250797,110
105695,44
1401152,97
914863,35
880578,98
1843323,82
118055,110
1193138,99
6499752,63
2084989,72
1049413,40
146336,73
6857112,62
434409,78
452702,17
817230,62
242998,70
985699,35
259711,63
443274,41
1759761,128
432373,70
7043012,3
120879,108
52357,93
124198,58
497465,46
1976009,31
5816682,86
5960374,49
112209,109
2258858,43
351977,29
910970,43
1027718,84
94291,108
493464,72
3450958,36
1568911,61
407304,12
86567,74
423510,75
5113250,23
1291584,59
409459,82
1067583,61
114898,2
8652728,111
1059741,103
1389137,79
1242460,114
498399,90
396269,60
9072146,36
